ID	Kanji	Meaning	OnReadings	KunReadings	ExampleWord	ExampleReading	ExampleMeaning	JLPT	Grade	StrokeCount	Radical	RadicalName	FrequencyRank	Tags	Etymology
N3-027	役	duty; role	ヤク	えき	役立つ	役立つ[やくだつ]	to be useful	N3	3-4					intermediate	[彳] (step/movement, left) + 殳 (a hand wielding a tool, right) — a person moving with a tool in hand fulfilling a task; a duty or role.
N3-028	政	politics	セイ、ショウ	まつりごと	政治	政治[せいじ]	politics	N3	3-4					intermediate	[正] (correct/straight, left) + [攴] (strike/enforce, right) — enforcing correctness with authority; the administration of government affairs.
N3-029	府	government office	フ		政府	政府[せいふ]	government	N3	3-4					intermediate	[广] (building/lean-to, top) + 付 (hand over/give, bottom) — a building where things are officially handed over and administered; a government office.
N3-030	議	deliberation	ギ		会議	会議[かいぎ]	meeting	N3	3-4					intermediate	[言] (speech, left) + 義 (righteousness/correct measure, right) — speech measured against what is right and correct; formal deliberation or discussion.
N3-031	員	member	イン		社員	社員[しゃいん]	employee	N3	3-4					intermediate	[口] (mouth/opening, top) + 貝 (shell/money, bottom) — a valued person at the opening of an organisation, counted like a coin; a member.
N3-032	費	expense	ヒ	つい.やす	費用	費用[ひよう]	cost	N3	3-4					intermediate	[貝] (shell/money, bottom) + 弗 (not/dispersing, top) — money dispersing and going away; an expense or cost.
N3-033	税	tax	ゼイ		税金	税金[ぜいきん]	tax	N3	3-4					intermediate	[禾] (grain, left) + 兑 (exchange/hand over, right) — grain handed over as payment; the portion of harvest surrendered as tax.
N3-034	銀	silver	ギン		銀行	銀行[ぎんこう]	bank	N3	3-4					intermediate	[金] (metal, left) + 艮 (firm/stopping, right) — a firm, enduring metal; silver, which holds its value steadily.
N3-035	鉄	iron	テツ		電車	電車[でんしゃ]	train	N3	3-4					intermediate	[金] (metal, left) + 失 (lose, right — used phonetically) — the metal that loses its shine; iron, which rusts unlike gold or silver.
N3-036	農	agriculture	ノウ		農業	農業[のうぎょう]	agriculture	N3	3-4					intermediate	[曲] (bent/field furrows, top) + 辰 (a hand tool for tilling, bottom) — a tilling tool working bent furrows in a field; agriculture.
N3-037	工	craft; construction	コウ、ク		工場	工場[こうじょう]	factory	N3	3-4					intermediate	[工] A pictograph of a carpenter's square or a tool with a handle — the instrument of craftsmanship; construction or craft.
N3-038	医	medicine	イ		医者	医者[いしゃ]	doctor	N3	3-4					intermediate	[匚] (box/container, outer) + 矢 (arrow, inner) + 殳 (hand with tool) — a container of healing arrows or instruments; the tools of medicine, hence a doctor or medicine.
N3-039	薬	medicine	ヤク	くすり	薬	薬[くすり]	medicine	N3	3-4					intermediate	[艸] (plant, top) + 楽 (music/pleasure, bottom) — a plant that brings pleasure and relief; a medicinal herb or remedy.
N3-040	病	illness	ビョウ	や.む	病気	病気[びょうき]	illness	N3	3-4					intermediate	[疒] (sickness radical — a person lying in bed, top-left) + 丙 (third/fire, bottom-right) — a feverish person confined to bed; illness.
N3-041	院	institution	イン		病院	病院[びょういん]	hospital	N3	3-4					intermediate	[阜] (mound/enclosed grounds, left) + 完 (complete/enclosed, right) — a complete enclosed compound; an institution or enclosed establishment.
N3-042	科	department	カ		科学	科学[かがく]	science	N3	3-4					intermediate	[禾] (grain, left) + 斗 (measuring scoop, right) — measuring and classifying grain; the sorting and classification of knowledge into departments.
N3-043	研	polish; study	ケン	と.ぐ	研究	研究[けんきゅう]	research	N3	3-4					intermediate	[石] (stone, left) + 开 (open/grind apart, right) — grinding and opening up stone; to polish or refine through study.
N3-044	究	research	キュウ	きわ.める	研究	研究[けんきゅう]	research	N3	3-4					intermediate	[穴] (cave/hole, top) + 九 (nine/elbow reaching deep, bottom) — reaching deep to the end of a cave; to investigate to the very limit.
N3-046	試	test	シ	ため.す	試験	試験[しけん]	exam	N3	3-4					intermediate	[言] (speech, left) + 式 (ceremony/method, right) — speech used in a formal method; a test or examination.
N3-047	験	test	ケン		試験	試験[しけん]	exam	N3	3-4					intermediate	[馬] (horse, left) + 佥 (all/many people, right) — testing a horse before many witnesses; proving through trial, hence a test or result.
N3-049	第	ordinal prefix	ダイ		第一	第一[だいいち]	first	N3	3-4					intermediate	[竹] (bamboo, top) + 弟 (younger brother/order, bottom) — bamboo slips arranged in sequence like younger siblings in order; an ordinal prefix indicating rank or sequence.
N3-050	席	seat	セキ		出席	出席[しゅっせき]	attendance	N3	3-4					intermediate	[广] (building, top) + 廿 (twenty/a mat) + 巾 (cloth, bottom) — a cloth mat laid out in a building; a seat or one's place at a gathering.
N3-051	課	section; lesson	カ		宿題	宿題[しゅくだい]	homework	N3	3-4					intermediate	[言] (speech, left) + 果 (result/fruit, right) — speech that produces a result; a lesson, section, or assigned task.
N3-052	宿	lodge	シュク	やど	宿題	宿題[しゅくだい]	homework	N3	3-4					intermediate	[宀] (roof, top) + 百 (hundred people, bottom) — a hundred people sheltered under one roof; a lodging place.
N3-054	図	diagram	ズ、ト	はか.る	地図	地図[ちず]	map	N3	3-4					intermediate	[囗] (enclosure/border, outer) + 鄙 components (settled area, inner) — a bordered representation of a settled area; a diagram or map.
N3-056	知	know	チ	し.らせる	知らせる	知らせる[しらせる]	to inform	N3	3-4					intermediate	[矢] (arrow, left) + [口] (mouth, right) — words as swift and sure as an arrow; to know and inform with certainty.
N3-057	伝	transmit	デン	つた.える	伝える	伝える[つたえる]	to convey	N3	3-4					intermediate	[人] (person, left) + 云 (clouds moving/speak, right) — a person carrying words like clouds moving across the sky; to transmit or convey.
N3-058	起	wake up	キ	お.こる	起こる	起こる[おこる]	to happen	N3	3-4					intermediate	[走] (run, left) + 己 (self/coil, right) — the self uncoiling and springing into motion; to rise, wake up, or occur.
N3-059	別	separate	ベツ	わ.ける	分ける	分ける[わける]	to divide	N3	3-4					intermediate	[冎] (bones/divide, left) + [刀] (knife, right) — a knife separating bones cleanly; to divide or part.
N3-060	合	fit; meet	ゴウ	あ.う	会合	会合[かいごう]	meeting	N3	3-4					intermediate	[口] (mouth/opening, bottom) + 亼 (a lid fitting over, top) — a lid fitting perfectly over an opening; to fit together or meet.
N3-061	解	unravel; solve	カイ	と.く	理解	理解[りかい]	understanding	N3	3-4					intermediate	[角] (horn, left) + 刀 (knife, middle) + 牛 (ox, right) — a knife separating an ox's horn from its body; to unravel or solve.
N3-062	願	request	ガン	ねが.う	お願い	お願い[おねがい]	request	N3	3-4					intermediate	[頁] (head/page, right) + 原 (origin/source, left) — bowing one's head back to the source; a heartfelt request or wish.
N3-064	始	begin	シ	はじ.まる	始まる	始まる[はじまる]	to begin	N3	3-4					intermediate	[女] (woman, left) + 台 (platform/foundation, right) — a woman at the founding platform; to begin or start.
N3-065	終	end	シュウ	お.える	終える	終える[おえる]	to finish	N3	3-4					intermediate	[糸] (thread, left) + 冬 (winter, right) — a thread reaching its winter end; the final point of something, to finish.
N3-066	続	continue	ゾク	つづ.ける	続ける	続ける[つづける]	to continue	N3	3-4					intermediate	[糸] (thread, left) + 売 (sell/pass on, right) — a thread being passed on without breaking; to continue or keep going.
N3-067	比	compare	ヒ	くら.べる	比べる	比べる[くらべる]	to compare	N3	3-4					intermediate	[比] Two identical figures placed side by side — direct pictograph of two people or things set next to each other for comparison.
N3-068	類	kind	ルイ		種類	種類[しゅるい]	kind	N3	3-4					intermediate	[頁] (head/page, right) + 米 (rice, middle) + 大 (large) — grains sorted and headed into categories; a kind or type.
N3-069	種	seed; kind	シュ	たね	種類	種類[しゅるい]	kind	N3	3-4					intermediate	[禾] (grain, left) + 重 (heavy/layered, right) — heavy layered grain; a seed that contains within it the full weight of the next generation, hence seed or kind.
N3-071	際	occasion; edge	サイ	きわ	国際	国際[こくさい]	international	N3	3-4					intermediate	[阜] (mound/boundary wall, left) + 祭 (festival/ritual, right) — a ritual held at the boundary wall; the edge or occasion where things meet.
N3-072	約	approximately	ヤク		予約	予約[よやく]	reservation	N3	3-4					intermediate	[糸] (thread, left) + 勺 (a ladle/small measure, right) — a thread measured out to a small, approximate amount; approximately or a binding promise.
N3-074	転	turn over	テン	ころ.がる	転ぶ	転ぶ[ころぶ]	to fall over	N3	3-4					intermediate	[車] (wheel/cart, left) + 専 (concentrated/spin, right) — a wheel spinning in concentrated rotation; to turn over or roll.
N3-076	望	hope	ボウ	のぞ.む	希望	希望[きぼう]	hope	N3	3-4					intermediate	[月] (moon, bottom-left) + 亡 (absent/distant, top) + 王 (king, bottom-right) — a king gazing at the distant moon; looking toward something far away with longing, hence hope.
