ID	Kanji	Meaning	OnReadings	KunReadings	ExampleWord	ExampleReading	ExampleMeaning	JLPT	Grade	StrokeCount	Radical	RadicalName	FrequencyRank	Tags	Etymology
N5-026	今	now	コン	いま	今日	今日[きょう]	today	N5	1					beginner	[人] (person, top) + 口 (mouth, below) — a person with something at their mouth; the breath or utterance of this very moment.
N5-027	先	before; ahead	セン	さき	先生	先生[せんせい]	teacher	N5	1					beginner	[儿] (legs, below) + 之 (going forward, top) — legs moving forward; to go ahead or precede.
N5-028	毎	every	マイ		毎日	毎日[まいにち]	every day	N5	1					beginner	[母] (mother) with a modified top — derived from mother 母; the sense of recurring nourishment extended to mean every or each time.
N5-029	週	week	シュウ		来週	来週[らいしゅう]	next week	N5	1					beginner	[辶] (movement/road, outer) + 周 (circuit/cycle, inner) — movement through a full cycle; one complete circuit of seven days.
N5-030	曜	day of week	ヨウ		月曜日	月曜日[げつようび]	Monday	N5	1					beginner	[日] (sun) + 翟 (pheasant/brightness) — the brilliance of a celestial body; used to denote the luminaries (sun, moon, five planets) assigned to days of the week.
N5-031	午	noon	ゴ		午後	午後[ごご]	afternoon; p.m.	N5	1					beginner	[十] (crossing stroke) — originally a pictograph of a pestle; noon was the midpoint of the day's cycle, one of the twelve Earthly Branches.
N5-032	前	front; before	ゼン	まえ	前	前[まえ]	front; before	N5	1					beginner	[刀] (knife, lower right) + 止 (foot, upper left) + 舟 (boat) — a foot moving forward with a cutting motion; to advance or go before.
N5-033	後	after; behind	ゴ、コウ	あと、うし.ろ	後	後[あと]	after; behind	N5	1					beginner	[彳] (step, left) + 幺 (small) + 夂 (trailing foot) — a foot trailing behind small steps; to follow after or be behind.
N5-034	朝	morning	チョウ	あさ	朝	朝[あさ]	morning	N5	1					beginner	[月] (moon, right) + 十 + 日 (sun, left components) — the moon still visible as the sun rises; the moment of early morning.
N5-035	昼	daytime; noon	チュウ	ひる	昼	昼[ひる]	daytime; noon	N5	1					beginner	[日] (sun, bottom) + 尺 (measure/length) — the sun at its measured height overhead; the middle of the day.
N5-036	夜	night	ヤ	よる	夜	夜[よる]	night	N5	1					beginner	[夕] (evening, outer) + 亦 (a person with armpits marked) — a person sheltering under the dark of evening; night.
N5-037	夕	evening	ユウ	ゆう	夕方	夕方[ゆうがた]	evening	N5	1					beginner	[夕] A crescent shape — a simplified pictograph of the crescent moon appearing at dusk, representing evening.
N5-038	天	heaven; sky	テン	あま、あめ	天気	天気[てんき]	weather	N5	1					beginner	[大] (a person with outstretched arms, below) + 一 (a stroke above the head) — the great expanse above a person's head; heaven or sky.
N5-039	気	spirit; energy	キ、ケ		元気	元気[げんき]	healthy; energetic	N5	1					beginner	[气] (steam/breath, outer) + 米 (rice, inner) — steam rising from cooking rice; the vital breath or energy that sustains life.
N5-040	雨	rain	ウ	あめ	雨	雨[あめ]	rain	N5	1					beginner	[雨] A horizontal top stroke (sky) with four dots below (raindrops) — direct pictograph of rain falling from a cloud.
N5-041	雪	snow	セツ	ゆき	雪	雪[ゆき]	snow	N5	1					beginner	[雨] (rain, top) + 彗 (broom, lower) — rain that must be swept away; snow.
N5-042	風	wind	フウ、フ	かぜ	風	風[かぜ]	wind	N5	1					beginner	[虫] (insect, inner) + 冂 (enclosure/sail frame, outer) — insects carried on the breeze inside an enclosing current of air; wind.
N5-043	空	sky; empty	クウ	そら	空	空[そら]	sky	N5	1					beginner	[穴] (cave/hole, top) + 工 (work/hollow out, bottom) — a hollowed-out cave opening upward into the vast emptiness; sky or empty space.
N5-044	山	mountain	サン	やま	山	山[やま]	mountain	N5	1					beginner	[山] Three peaks rising from a base — direct pictograph of a mountain range with a taller central peak flanked by two smaller ones.
N5-045	川	river	セン	かわ	川	川[かわ]	river	N5	1					beginner	[川] Three vertical flowing lines — direct pictograph of water flowing downward in a river.
N5-046	田	rice field	デン	た	田	田[た]	rice field	N5	1					beginner	[田] A rectangle divided into four plots by a cross — direct pictograph of a rice paddy divided into sections by paths or dikes.
N5-047	森	forest	シン	もり	森	森[もり]	forest	N5	1					beginner	[木] (tree) × 3 — three trees together form a dense forest; a logical compound of tree repeated.
N5-048	林	woods; grove	リン	はやし	林	林[はやし]	woods; grove	N5	1					beginner	[木] (tree) × 2 — two trees side by side form a grove or small woods.
N5-049	花	flower	カ	はな	花	花[はな]	flower	N5	1					beginner	[艸] (grass/plant, top) + 化 (change/transform, bottom) — a plant in transformation; the blooming flower.
N5-050	草	grass	ソウ	くさ	草	草[くさ]	grass	N5	1					beginner	[艸] (plant, top) + 早 (early, bottom) — early-sprouting plants; grass.
N5-051	石	stone	セキ、シャク	いし	石	石[いし]	stone	N5	1					beginner	[石] 厂 (cliff, top) + 口 (mouth/block, bottom) — a block fallen from a cliff face; a stone or rock.
N5-052	虫	insect	チュウ	むし	虫	虫[むし]	insect	N5	1					beginner	[虫] Originally a pictograph of a coiled snake; later generalised to cover all small crawling creatures including insects.
N5-053	犬	dog	ケン	いぬ	犬	犬[いぬ]	dog	N5	1					beginner	[大] (large/person with arms out) + a dot — a person-like figure with a distinguishing mark; the dot differentiates dog from the character for large 大.
N5-054	魚	fish	ギョ	さかな	魚	魚[さかな]	fish	N5	1					beginner	[魚] A pictograph showing a fish head at top, scales in the body, and a tail fin at the bottom — direct pictograph of a fish.
N5-055	鳥	bird	チョウ	とり	鳥	鳥[とり]	bird	N5	1					beginner	[鳥] A pictograph of a bird with a head, body, wing, and tail — direct pictograph of a bird, distinguished from 隹 (short-tailed bird) by the long tail strokes.
N5-056	米	rice	ベイ、マイ	こめ	米	米[こめ]	rice	N5	1					beginner	[米] A central stroke with grains radiating outward — pictograph of rice grains scattered around a central stem.
N5-057	牛	cow	ギュウ	うし	牛	牛[うし]	cow	N5	1					beginner	[牛] A pictograph of a cow's horns and head viewed from the front — direct pictograph of a cow's face.
N5-058	馬	horse	バ	うま	馬	馬[うま]	horse	N5	1					beginner	[馬] A pictograph of a horse showing head, mane, body, and four legs — direct pictograph of a horse.
N5-059	玉	jewel; ball	ギョク	たま	玉	玉[たま]	jewel; ball	N5	1					beginner	[王] (king, the same strokes) + a dot — three horizontal strokes connected by a vertical (strung jewels), with a dot added to distinguish jewel from king 王.
N5-060	王	king	オウ		王	王[おう]	king	N5	1					beginner	[王] Three horizontal strokes connected by a vertical — representing heaven, earth, and humanity united by the ruler who stands between them.
N5-061	門	gate	モン	かど	門	門[もん]	gate	N5	1					beginner	[門] A direct pictograph of two swinging gate doors with a horizontal bar across the top — a symmetrical double-doored gate.
N5-062	車	car	シャ	くるま	車	車[くるま]	car	N5	1					beginner	[車] A pictograph of a wheeled cart viewed from above — a central axle with two wheels on either side and a body in the middle.
N5-063	電	electricity	デン		電車	電車[でんしゃ]	train	N5	1					beginner	[雨] (rain, top) + 申 (lightning bolt, bottom) — lightning flashing from a rain cloud; electricity.
N5-064	道	road; way	ドウ	みち	道	道[みち]	road; way	N5	1					beginner	[辶] (movement along a path, outer) + 首 (head, inner) — a head leading the way along a path; road or way.
N5-065	駅	station	エキ		駅	駅[えき]	station	N5	1					beginner	[馬] (horse, left) + 尺 (measure, right) — a measured stopping point for horses on a post road; a station.
N5-066	店	shop	テン	みせ	店	店[みせ]	shop	N5	1					beginner	[广] (building/lean-to, top) + 占 (to occupy, bottom) — a building that occupies a place for trade; a shop.
N5-067	国	country	コク	くに	国	国[くに]	country	N5	1					beginner	[囗] (enclosure/border, outer) + 玉 (jewel/land, inner) — a precious territory enclosed within borders; a country.
N5-068	町	town	チョウ	まち	町	町[まち]	town	N5	1					beginner	[田] (rice field, left) + 丁 (a nail/block, right) — a marked-out field settlement; a town or district block.
N5-069	村	village	ソン	むら	村	村[むら]	village	N5	1					beginner	[木] (tree, left) + 寸 (a small measure, right) — trees measured out for settlement; a small clustered community.
N5-070	京	capital	キョウ、ケイ		東京	東京[とうきょう]	Tokyo	N5	1					beginner	[亠] (top) + 口 (mouth) + 小 (small legs below) — a pictograph of a tall building or watchtower on a hill, representing an elevated capital city.
N5-071	校	school	コウ		学校	学校[がっこう]	school	N5	1					beginner	[木] (wood/structure, left) + 交 (intersect/exchange, right) — a wooden structure where learning is exchanged; a school.
N5-072	社	company; shrine	シャ		会社	会社[かいしゃ]	company	N5	1					beginner	[示] (altar/spirit, left) + 土 (earth, right) — an earth altar for worship; extended to mean a gathered institution or company.
N5-073	会	meet; meeting	カイ、エ	あ.う	会う	会う[あう]	to meet	N5	1					beginner	[人] (people, top) + 云 (gathering clouds/speaking, bottom) — people coming together to speak; to meet or assemble.
N5-074	家	house; family	カ、ケ	いえ	家	家[いえ]	house	N5	1					beginner	[宀] (roof, top) + 豕 (pig, bottom) — a roof sheltering a pig; in ancient times keeping a pig under the roof indicated a settled household.
N5-075	室	room	シツ	むろ	部屋	部屋[へや]	room	N5	1					beginner	[宀] (roof, top) + 至 (to arrive, bottom) — the place one arrives at under a roof; an interior room.
N5-076	親	parent	シン	おや	親	親[おや]	parent	N5	1					beginner	[見] (see, right) + 立 (stand) + 木 (tree, left components) — a figure standing in a tree watching over; a parent keeping watch.
N5-077	父	father	フ	ちち	父	父[ちち]	father	N5	1					beginner	[父] A pictograph of a hand gripping a rod or tool — the hand that wields authority and works; father.
N5-078	母	mother	ボ	はは	母	母[はは]	mother	N5	1					beginner	[母] A pictograph of a kneeling woman with two dots marking the breasts — the nursing figure; mother.
N5-079	兄	older brother	ケイ、キョウ	あに	兄	兄[あに]	older brother	N5	1					beginner	[儿] (legs/person, bottom) + 口 (mouth, top) — a person who speaks first or speaks above; the elder who leads with words.
N5-080	姉	older sister	シ	あね	姉	姉[あね]	older sister	N5	1					beginner	[女] (woman, left) + 市 (market/gather, right) — a woman of the marketplace or gathering; the older sister who manages affairs.
N5-081	弟	younger brother	テイ、ダイ、デ	おとうと	弟	弟[おとうと]	younger brother	N5	1					beginner	[弓] (bow, outer strokes) + 丨 (vertical) — a pictograph of a cord wound around a stake; the younger one who follows in order.
N5-082	妹	younger sister	マイ	いもうと	妹	妹[いもうと]	younger sister	N5	1					beginner	[女] (woman, left) + 未 (not yet/young tree, right) — a woman who is not yet fully grown; younger sister.
N5-083	子	child	シ、ス	こ	子ども	子ども[こども]	child	N5	1					beginner	[子] A pictograph of a swaddled infant with arms outstretched — direct pictograph of a baby or young child.
N5-084	人	person	ジン、ニン	ひと	人	人[ひと]	person	N5	1					beginner	[人] Two strokes — a direct pictograph of a person standing upright seen from the side, one stroke the body and one the leg.
N5-085	女	woman	ジョ、ニョ	おんな	女	女[おんな]	woman	N5	1					beginner	[女] A pictograph of a kneeling or seated figure with crossed arms — a direct pictograph of a woman in a traditional seated posture.
N5-086	男	man	ダン、ナン	おとこ	男	男[おとこ]	man	N5	1					beginner	[田] (rice field, top) + [力] (strength/muscle, bottom) — strength applied in the field; the man who works the land.
N5-087	友	friend	ユウ	とも	友だち	友だち[ともだち]	friend	N5	1					beginner	[又] (right hand) × 2 — two right hands clasped together; friendship expressed through a handshake.
N5-088	名	name	メイ、ミョウ	な	名前	名前[なまえ]	name	N5	1					beginner	[夕] (evening, top) + 口 (mouth, bottom) — calling out one's name with one's mouth in the dark of evening when faces cannot be seen.
N5-089	生	life; birth	セイ、ショウ	い.きる、う.まれる	先生	先生[せんせい]	teacher	N5	1					beginner	[生] A sprouting plant growing from the ground — direct pictograph of a plant pushing up through the earth; life and birth.
N5-090	学	study	ガク	まな.ぶ	学生	学生[がくせい]	student	N5	1					beginner	[子] (child, bottom) + 冖 (cover) + 爻 (interaction, top) — a child under a roof receiving instruction; to study or learn.
N5-091	文	sentence; writing	ブン、モン	ふみ	作文	作文[さくぶん]	composition	N5	1					beginner	[文] A pictograph of a person with a mark or tattoo on the chest — the original meaning was a pattern or marking; extended to writing and text.
N5-092	字	character	ジ	あざ	漢字	漢字[かんじ]	kanji	N5	1					beginner	[宀] (roof, top) + 子 (child, bottom) — a child under a roof being taught; a written character learned in a place of instruction.
N5-093	語	language	ゴ	かた.る	日本語	日本語[にほんご]	Japanese language	N5	1					beginner	[言] (speech, left) + 吾 (I/my, right) — my own speech; a language or the way one speaks.
N5-094	話	talk; story	ワ	はな.す、はなし	話す	話す[はなす]	to speak	N5	1					beginner	[言] (speech, left) + 舌 (tongue, right) — the tongue making speech; to talk or tell a story.
N5-095	読	read	ドク	よ.む	読む	読む[よむ]	to read	N5	1					beginner	[言] (speech, left) + 売 (sell/exchange, right) — exchanging meaning through speech marks; to read.
N5-096	書	write	ショ	か.く	書く	書く[かく]	to write	N5	1					beginner	[曰] (say/sun, bottom) + 筆 (brush strokes, top) — a brush making marks to say something; to write.
N5-097	聞	hear; ask	ブン、モン	き.く	聞く	聞く[きく]	to hear; to ask	N5	1					beginner	[耳] (ear, inner) + 門 (gate, outer) — an ear at the gate listening; to hear or ask.
N5-098	見	see	ケン	み.る	見る	見る[みる]	to see	N5	1					beginner	[目] (eye, top) + 儿 (person/legs, bottom) — a person with an eye prominent; to see or look.
N5-099	行	go	コウ、ギョウ	い.く	行く	行く[いく]	to go	N5	1					beginner	[行] A pictograph of a crossroads — left and right strokes representing a junction of paths; to go or travel.
N5-100	来	come	ライ	く.る	来る	来る[くる]	to come	N5	1					beginner	[木] (tree) + 人 (people on either side) — originally a pictograph of a wheat plant; borrowed phonetically for to come, as wheat came from the west.
N5-101	帰	return	キ	かえ.る	帰る	帰る[かえる]	to return	N5	1					beginner	[巾] (cloth, lower right) + 帚 (broom, right) + 刀 (knife left components) — a broom sweeping the way back home; to return.
N5-102	入	enter	ニュウ	はい.る	入る	入る[はいる]	to enter	N5	1					beginner	[入] Two strokes converging downward — a pictograph of something pushing inward or entering through an opening.
N5-103	出	exit; leave	シュツ、スイ	で.る	出る	出る[でる]	to leave	N5	1					beginner	[凵] (open container, bottom) + 山 (rising shape, top) — something rising up and out of a container; to exit or leave.
N5-104	休	rest	キュウ	やす.む	休む	休む[やすむ]	to rest	N5	1					beginner	[人] (person, left) + 木 (tree, right) — a person leaning against a tree in the shade; to rest.
N5-105	立	stand	リツ	た.つ	立つ	立つ[たつ]	to stand	N5	1					beginner	[立] A pictograph of a person standing upright on a horizontal ground line — direct pictograph of a figure standing.
N5-106	使	use	シ	つか.う	使う	使う[つかう]	to use	N5	1					beginner	[人] (person, left) + 吏 (official, right) — a person directing an official; to employ or use.
N5-107	知	know	チ	し.る	知る	知る[しる]	to know	N5	1					beginner	[矢] (arrow, left) + 口 (mouth, right) — words as swift and sure as an arrow; to know with certainty.
N5-108	思	think	シ	おも.う	思う	思う[おもう]	to think	N5	1					beginner	[心] (heart, bottom) + 田 (field/brain-like grid, top) — the heart working through something methodically; to think.
N5-109	持	hold	ジ	も.つ	持つ	持つ[もつ]	to hold	N5	1					beginner	[手] (hand, left) + 寺 (temple/maintain, right) — a hand that maintains or keeps steady; to hold.
N5-110	着	wear; arrive	チャク、ジャク	き.る	着る	着る[きる]	to wear	N5	1					beginner	[羊] (sheep/wool, top) + 目 (eye) + 人 (person below) — a person layered with wool seen clearly; to wear or to arrive (reach one's destination).
N5-111	売	sell	バイ	う.る	売る	売る[うる]	to sell	N5	1					beginner	[士] (samurai/person, top) + 買 (buy, simplified below) — simplified from 賣; a person exchanging goods; to sell.
N5-112	買	buy	バイ	か.う	買う	買う[かう]	to buy	N5	1					beginner	[貝] (shell/money, bottom) + 网 (net, top) — netting valuables or money; to buy.
N5-113	貸	lend	タイ	か.す	貸す	貸す[かす]	to lend	N5	1					beginner	[貝] (shell/money, bottom) + 代 (substitute/replace, top) — money given temporarily in place of something else; to lend.
N5-114	借	borrow	シャク	か.りる	借りる	借りる[かりる]	to borrow	N5	1					beginner	[人] (person, left) + 昔 (long ago, right) — a person taking something from the past that must be returned; to borrow.
N5-115	住	live; reside	ジュウ	す.む	住む	住む[すむ]	to live	N5	1					beginner	[人] (person, left) + 主 (master/lord, right) — a person who is master of a place; to dwell or reside.
N5-116	食	eat	ショク、ジキ	た.べる	食べる	食べる[たべる]	to eat	N5	1					beginner	[食] Originally a pictograph of a covered vessel of rice on a stand — the complete meal setting; to eat.
N5-117	飲	drink	イン	の.む	飲む	飲む[のむ]	to drink	N5	1					beginner	[食] (eating vessel, left) + 欠 (open mouth/yawning, right) — an open mouth tilted toward a food vessel; to drink.
N5-118	乗	ride	ジョウ	の.る	乗る	乗る[のる]	to ride	N5	1					beginner	[木] (tree, lower) + 人 with legs astride (top) — a person mounted atop a tree or post; to ride or board.
N5-119	降	get off; fall	コウ	お.りる	降りる	降りる[おりる]	to get off	N5	1					beginner	[阜] (mound/steps, left) + 夅 (descending feet, right) — feet descending a mound or steps; to get off or come down.
N5-120	切	cut	セツ	き.る	切る	切る[きる]	to cut	N5	1					beginner	[刀] (knife, right) + 七 (seven, left — used phonetically) — a knife in action; to cut.
N5-121	開	open	カイ	あ.ける	開く	開く[あく]	to open	N5	1					beginner	[門] (gate, outer) + 开 (two hands lifting a bar, inner) — two hands lifting the crossbar of a gate; to open.
N5-122	取	take	シュ	と.る	取る	取る[とる]	to take	N5	1					beginner	[又] (hand, right) + 耳 (ear, left) — a hand grasping an ear, from the ancient practice of taking a defeated enemy's ear as proof of victory; to take.
